chrom	start	stop	gene_name
5	59683540	59943484	PART1
7	48028225	48248330	UPP1
12	57746106	57953063	INHBE
10	115954583	116264515	AFAP1L2
7	22057909	22496763	RAPGEF5
12	11600964	11843303	RP11-434C1.1
6	47099268	47377641	TNFRSF21
1	226318850	226597570	LIN9
3	180601497	180807562	DNAJC19
1	152781021	152984362	IVL
3	130469439	130835556	ATP2C1
7	101996685	102205323	ALKBH4
16	14429558	14826585	PARN
15	56019120	56385944	NEDD4
3	51909066	52123213	ACY1
6	30776019	30994236	VARS2
11	62282768	62489647	B3GAT3
14	39766873	40001704	FBXO33
15	32833877	33089299	SCG5
2	71309869	71554213	PAIP2B
22	46871909	47175688	GRAMD4
5	180563909	180775096	GNB2L1
6	44087242	44301888	SLC29A1
16	50482241	50770647	NKD1
13	32906554	33154775	RP11-298P3.4
19	50079043	50292286	PRMT1
7	106405723	106647590	PIK3CG
19	431733	642084	CDC34
15	78359810	78638030	ACSBG1
11	67031639	67241648	CLCF1
9	75666673	75885309	ANXA1
5	109524934	110174657	TMEM232
15	89079384	89299714	ISG20
1	94514544	94840624	ARHGAP29
6	31533013	31738120	CSNK2B
19	10554593	10764093	ATG4D
14	105303581	105544694	AHNAK2
1	46759937	46979520	FAAH
3	31599382	32219072	OSBPL10
1	27220198	27427147	TRNP1
16	2463966	2677956	RP11-20I23.3
2	75085619	75297255	POLE4
4	5927926	6302318	JAKMIP1
22	21028167	21242008	SERPIND1
1	145626918	145864074	PDZK1
2	227600297	227963931	RHBDD1
22	24515622	24741110	GGT5
1	114371814	114620426	HIPK1
11	94798704	95065705	SESN3
17	72222349	72451959	KIF19
2	159725146	160189170	TANC1
10	98657795	99045683	SLIT1
11	33178218	33478569	HIPK3
3	196494727	196761585	SENP5
1	9808334	10070394	CTNNBIP1
1	18707424	18912534	KLHDC7A
12	10416368	10651105	RP11-277P12.20
5	78807943	79082471	PAPD4
22	17560194	17839125	CECR1
16	3305889	3506924	OR2C1
1	236205832	236485165	GPR137B
19	57691419	57905436	ZNF460
5	149940436	150158927	MYOZ3
9	135666735	135920020	TSC1
2	10096907	10321071	CYS1
17	3527211	3730067	GSG2
15	41524892	41773248	NUSAP1
1	161394036	161596681	HSPA6
12	52363030	52571278	C12orf44
14	105507318	105735161	JAG2
10	104109574	104316054	C10orf95
5	149988002	150238671	DCTN4
11	72187185	72485635	PDE2A
17	48456161	48663336	RSAD1
21	25701054	26020256	AP000476.1
7	149028454	149258214	ZNF777
1	32965773	33216504	ZBTB8OS
17	27082020	27288085	ERAL1
4	743064	1026161	GAK
3	42595176	42809072	ZBTB47
7	127192234	127832661	SND1
2	211242406	211643831	CPS1
19	32987907	33266102	ANKRD27
6	2964092	3215421	RIPK1
12	116295711	116815143	MED13L
11	78047007	78385919	NARS2
12	51539133	51764202	SMAGP
18	47653563	47892865	CCDC11
20	18169121	18397640	ZNF133
2	87035076	87341104	RGPD1
